2012 U.S. EV SALES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Chevrolet Volt,603,1023,2289,1462,1680,1760,1849,2831,2851,2961,1519,2633
Ford C-Max Energi,0,0,0,0,0,0,0,0,0,144,1259,971
Ford Focus Electric,2,0,0,0,6,89,38,34,59,118,172,162
Honda Fit EV,0,0,0,0,0,0,7,9,16,16,26,19
Mitsubishi i-MiEV,36,44,56,79,85,33,33,37,36,30,42,77
Nissan LEAF,676,479,579,370,510,535,395,685,984,1579,1539,1489
Tesla Model S,0,0,0,0,0,12,19,43,86,300,400,1790
Toyota Prius PHEV,0,21,891,1654,1086,695,688,1047,1652,1889,1766,1361
Toyota RAV4 EV,0,0,0,0,0,0,0,0,61,47,32,52
