2014 U.S. EV SALES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
BMW i3 (BEV + REx),0,0,0,0,336,358,363,1025,1022,1159,816,1013
BMW i8,0,0,0,0,0,0,0,9,58,204,126,158
Cadillac ELR,41,58,81,61,52,97,188,196,111,152,155,118
Chevrolet Spark EV,93,71,108,97,182,85,128,80,51,58,61,131
Chevrolet Volt,918,1210,1478,1548,1684,1777,2020,2511,1394,1439,1336,1490
Fiat 500e,310,335,644,442,476,636,528,535,518,217,211,279
Ford C-Max Energi,471,552,610,525,782,988,831,1050,677,644,644,659
Ford Focus Electric,100,129,177,116,177,197,198,264,176,186,191,53
Ford Fusion Energi,533,779,899,743,1342,1939,1226,1222,640,686,752,789
Honda Accord PHV,27,24,18,37,46,28,41,46,42,34,43,63
Honda Fit EV,30,33,37,50,33,38,42,55,29,23,5,32
Kia Soul EV,0,0,0,0,0,0,0,0,0,109,140,110
Mercedes B250e,0,0,0,0,0,0,41,51,65,98,193,326
Mitsubishi i-MiEV,1,3,24,12,35,22,17,20,15,17,18,12
Nissan LEAF,1252,1425,2507,2088,3117,2347,3019,3186,2881,2589,2687,3102
Porsche Cayenne S-E,0,0,0,0,0,0,0,0,0,0,45,55
Porsche Panamera E-Hybrid,141,57,56,63,53,111,63,68,82,97,57,31
smart ED ,97,122,186,203,206,278,298,208,182,150,313,351
Tesla Model S,800,1089,1300,1100,1000,1500,800,600,2500,1300,1200,3500
Toyota Prius PHEV,803,1041,1452,1741,2692,1571,1371,818,353,479,451,492
Toyota RAV4 EV,63,101,73,69,149,91,68,228,125,97,83,37
Volkswagen e-Golf,0,0,0,0,0,0,0,0,0,1,119,237
