2011 U.S. EV SALES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Chevrolet Volt,321,281,608,493,481,561,125,302,723,1108,1139,1529
Nissan LEAF,87,67,298,573,1142,1708,931,1362,1031,849,672,953
Mitsubishi i-MiEV,0,0,0,0,0,0,0,0,0,0,0,80
